gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,England,822bd0ba,Liverpool,8650.0,Liverpool,31.0,Liverpool FC,liverpool-fc,Liverpool FC,Liverpool,Liverpool,
M,England,b8fd03ef,Manchester City,8456.0,Manchester City,281.0,Manchester City,manchester-city,Manchester City,Manchester City,Man City,
M,England,19538871,Manchester United,10260.0,Manchester United,985.0,Manchester United,manchester-united,Manchester United,Manchester United,Man United,
M,England,b2b47a98,Newcastle United,10261.0,Newcastle United,762.0,Newcastle United,newcastle-united,Newcastle United,Newcastle,Newcastle,
M,England,e4a775cb,Nottingham Forest,10203.0,Nottingham Forest,703.0,Nottingham Forest,nottingham-forest,Nottingham Forest,Nottingham Forest,Nott'm Forest,
M,England,33c895d4,Southampton,8466.0,Southampton,180.0,Southampton FC,southampton-fc,Southampton FC,Southampton,Southampton,
M,England,361ca564,Tottenham Hotspur,8586.0,Tottenham Hotspur,148.0,Tottenham Hotspur,tottenham-hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham,
M,England,7c21e445,West Ham United,8654.0,West Ham United,379.0,West Ham United,west-ham-united,West Ham United,West Ham United,West Ham,
M,England,8cec06e1,Wolverhampton Wanderers,8602.0,Wolverhampton Wanderers,543.0,Wolverhampton Wanderers,wolverhampton-wanderers,Wolverhampton Wanderers,Wolverhampton,Wolves,
M,Estonia,719d83f1,Flora,8155.0,Flora Tallinn,1002.0,FC Flora Tallinn,fc-flora-tallinn,FC Flora Tallinn,Flora,,
M,Finland,d7319d80,HJK Helsinki,9861.0,HJK,1008.0,HJK Helsinki,hjk-helsinki,,HJK Helsinki,HJK,
M,France,7a54bb4f,Ajaccio,8576.0,AC Ajaccio,1147.0,AC Ajaccio,ac-ajaccio,,AC Ajaccio,Ajaccio,
M,France,25622401,Amiens,8587.0,Amiens,1416.0,Amiens SC,amiens-sc,,Amiens,Amiens,
M,France,69236f98,Angers,8121.0,Angers,1420.0,SCO Angers,sco-angers,SCO Angers,Angers,Angers,
M,France,fd6114db,Monaco,9829.0,Monaco,162.0,AS Monaco,as-monaco,AS Monaco,AS Monaco,Monaco,
M,France,5ae09109,Auxerre,8583.0,Auxerre,290.0,AJ Auxerre,aj-auxerre,,Auxerre,Auxerre,
M,France,123f3efe,Bordeaux,9827.0,Bordeaux,40.0,FC Girondins Bordeaux,fc-girondins-bordeaux,FC Girondins Bordeaux,Bordeaux,Bordeaux,
M,France,fb08dbb3,Brest,8521.0,Brest,3911.0,Stade Brest 29,stade-brest-29,Stade Brest 29,Brest,Brest,
M,France,74229020,Caen,7819.0,Caen,1162.0,SM Caen,sm-caen,,Caen,Caen,
M,France,d9676424,Clermont Foot,8311.0,Clermont Foot,3524.0,Clermont Foot 63,clermont-foot-63,,Clermont Foot,Clermont,
M,France,8dfb7350,Dijon,9836.0,Dijon,2969.0,Dijon FCO,fco-dijon,Dijon FCO,Dijon FCO,Dijon,
M,France,d41b5f53,Guingamp,9747.0,Guingamp,855.0,EA Guingamp,ea-guingamp,EA Guingamp,Guingamp,Guingamp,
M,France,fd4e0f7d,Lens,8588.0,Lens,826.0,RC Lens,Racing Club de Lens,RC Lens,Lens,Lens,
M,France,cb188c0c,Lille,8639.0,Lille,1082.0,LOSC Lille,osc-lille,LOSC Lille,Lille,Lille,
M,France,d2c87802,Lorient,8689.0,Lorient,1158.0,FC Lorient,fc-lorient,FC Lorient,Lorient,Lorient,
M,France,d53c0b06,Lyon,9748.0,Lyon,1041.0,Olympique Lyon,olympique-lyon,Olympique Lyon,Lyon,Lyon,
M,France,5725cc7b,Marseille,8592.0,Marseille,244.0,Olympique Marseille,olympique-marseille,Olympique Marseille,Marseille,Marseille,
M,France,f83960ae,Metz,8550.0,Metz,347.0,FC Metz,fc-metz,FC Metz,Metz,Metz,
M,France,281b0e73,Montpellier,10249.0,Montpellier,969.0,Montpellier HSC,hsc-montpellier,Montpellier HSC,Montpellier,Montpellier,
M,France,d7a486cd,Nantes,9830.0,Nantes,995.0,FC Nantes,fc-nantes,FC Nantes,Nantes,Nantes,
M,France,132ebc33,Nice,9831.0,Nice,417.0,OGC Nice,ogc-nizza,OGC Nice,Nice,Nice,
