competition_type,competition_name,ccode,country,gender,id,league_url
Domestic Leagues - 1st Tier,Toppserien (W),NOR,Norway,W,331,/leagues/331/overview/toppserien-(w)
Domestic Leagues - 1st Tier,Eliteserien Qualification,NOR,Norway,M,60,/leagues/60/overview/eliteserien-qualification
Domestic Cups,Norgesmesterskapet,NOR,Norway,M,206,/leagues/206/overview/norgesmesterskapet
Domestic Leagues - 2nd Tier,OBOS-ligaen Qualification,NOR,Norway,M,9754,/leagues/9754/overview/obos-ligaen-qualification
Domestic Cups,Cup,PAR,Paraguay,M,10230,/leagues/10230/overview/cup
Domestic Leagues - 1st Tier,Division Profesional,PAR,Paraguay,M,199,/leagues/199/overview/division-profesional
Domestic Cups,Supercopa,PAR,Paraguay,M,10259,/leagues/10259/overview/supercopa
Domestic Leagues - 1st Tier,Primera Division,PER,Peru,M,131,/leagues/131/overview/primera-division
Domestic Leagues - 1st Tier,Ekstraklasa,POL,Poland,M,196,/leagues/196/overview/ekstraklasa
Domestic Leagues - 2nd Tier,1 Liga,POL,Poland,M,197,/leagues/197/overview/1-liga
Domestic Cups,Puchar Polski,POL,Poland,M,198,/leagues/198/overview/puchar-polski
Domestic Cups,Superpuchar Polski,POL,Poland,M,200,/leagues/200/overview/superpuchar-polski
Domestic Leagues - 3rd Tier and Lower,2. Division,POL,Poland,M,8935,/leagues/8935/overview/2.-division
Domestic Leagues - 1st Tier,Liga Portugal,POR,Portugal,M,61,/leagues/61/overview/liga-portugal
Domestic Leagues - 2nd Tier,Liga Portugal 2,POR,Portugal,M,185,/leagues/185/overview/liga-portugal-2
Domestic Cups,League Cup,POR,Portugal,M,187,/leagues/187/overview/league-cup
Domestic Leagues - 3rd Tier and Lower,Liga 3,POR,Portugal,M,9112,/leagues/9112/overview/liga-3
Domestic Leagues - 1st Tier,Liga Portugal Qualification,POR,Portugal,M,10215,/leagues/10215/overview/liga-portugal-qualification
Domestic Cups,Portugal Cup,POR,Portugal,M,186,/leagues/186/overview/portugal-cup
Domestic Cups,Super Cup,POR,Portugal,M,188,/leagues/188/overview/super-cup
Domestic Leagues - 1st Tier,Qatar Stars League,QAT,Qatar,M,535,/leagues/535/overview/qatar-stars-league
Domestic Leagues - 1st Tier,Liga I,ROU,Romania,M,189,/leagues/189/overview/liga-i
Domestic Leagues - 1st Tier,Liga I Qualification,ROU,Romania,M,9587,/leagues/9587/overview/liga-i-qualification
Domestic Leagues - 2nd Tier,Liga II,ROU,Romania,M,9113,/leagues/9113/overview/liga-ii
Domestic Cups,Romania Cup,ROU,Romania,M,190,/leagues/190/overview/romania-cup
Domestic Cups,Super Cup,ROU,Romania,M,192,/leagues/192/overview/super-cup
Domestic Leagues - 1st Tier,Premier League,RUS,Russia,M,63,/leagues/63/overview/premier-league
Domestic Cups,Cup,RUS,Russia,M,193,/leagues/193/overview/cup
Domestic Cups,Super Cup,RUS,Russia,M,195,/leagues/195/overview/super-cup
Domestic Leagues - 2nd Tier,1. Division,RUS,Russia,M,338,/leagues/338/overview/1.-division
Domestic Leagues - 3rd Tier and Lower,PFL,RUS,Russia,M,9123,/leagues/9123/overview/pfl
Domestic Leagues - 1st Tier,Pro League,KSA,Saudi Arabia,M,536,/leagues/536/overview/pro-league
Domestic Cups,Cup,KSA,Saudi Arabia,M,9942,/leagues/9942/overview/cup
Domestic Cups,Super Cup,KSA,Saudi Arabia,M,10074,/leagues/10074/overview/super-cup
Domestic Leagues - 1st Tier,Premiership,SCO,Scotland,M,64,/leagues/64/overview/premiership
Domestic Leagues - 2nd Tier,Championship,SCO,Scotland,M,123,/leagues/123/overview/championship
Domestic Leagues - 3rd Tier and Lower,League One,SCO,Scotland,M,124,/leagues/124/overview/league-one
Domestic Leagues - 3rd Tier and Lower,League Two,SCO,Scotland,M,125,/leagues/125/overview/league-two
